No.,Title,URL,View,Date
124,중앙대 산업보안학과 학부생 ‘2017 하계공동학술...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=14&skey=&keyword=&mode=view&bltn_seq=381,963,2017.08.09
125,중앙대 산업보안학과 학부생 ‘2017 전자거래학회...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=14&skey=&keyword=&mode=view&bltn_seq=377,749,2017.08.06
126,[디지털타임스] 4차 산업혁명 차세대 생체인식 기...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=14&skey=&keyword=&mode=view&bltn_seq=374,733,2017.08.03
127,중앙대 산업보안학과 학부생 ‘2017 대학생 금융...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=15&skey=&keyword=&mode=view&bltn_seq=373,"1,260",2017.07.31
128,'2017년 K-MOOC' 사업 최종 선정,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=15&skey=&keyword=&mode=view&bltn_seq=349,"1,036",2017.05.18
129,2017년도 산업보안 특성화학과 육성사업 선정,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=15&skey=&keyword=&mode=view&bltn_seq=348,"1,055",2017.05.18
130,제7회 국제 지식재산권 및 산업보안 컨퍼런스,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=15&skey=&keyword=&mode=view&bltn_seq=347,846,2017.05.18
131,제4차 인증전문가 포럼...디지털 신원 확인 방법 ...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=15&skey=&keyword=&mode=view&bltn_seq=334,"1,059",2017.04.21
132,노르웨이 NTNU 대학원생 및 교수 방문,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=15&skey=&keyword=&mode=view&bltn_seq=319,"1,295",2017.04.07
133,중앙대 - 금융보안원 '금융산업 보안 연구협력 및...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=15&skey=&keyword=&mode=view&bltn_seq=312,879,2017.03.22
134,커리큘럼 인증패 및 우수 강의계획서 수상자 상패...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=15&skey=&keyword=&mode=view&bltn_seq=303,931,2017.03.07
135,패스워드 증후군 방지... 2017 생체인증 이슈들 -...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=15&skey=&keyword=&mode=view&bltn_seq=293,887,2017.02.19
136,"정부, 기업 기술유출 처벌 강화 및 영업비밀 범위...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=16&skey=&keyword=&mode=view&bltn_seq=287,706,2017.01.31
137,"기업 정보 지키는 보안 전문가 양성, 중앙대 산업...",http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=16&skey=&keyword=&mode=view&bltn_seq=271,"1,329",2016.12.14
138,'2016 제2회 산업보안 한마음' 개최,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=16&skey=&keyword=&mode=view&bltn_seq=262,"1,345",2016.12.05
139,중앙대학교 산업보안정책연구소 주관 FIDO인증 및...,http://security.cau.ac.kr/board.htm?bbsid=news&ctg_cd=&page=16&skey=&keyword=&mode=view&bltn_seq=261,"1,093",2016.11.25
